ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms)
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,1547646779416,0
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646781401,1985
2,0.832302,0.369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646782621,3205
3,0.832302,0.369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646784602,5186
4,0.832302,0.369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646785519,6103
5,0.832302,0.369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646786527,7111
6,0.922193,0.524966,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646787523,8107
7,0.955998,0.585719,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646788520,9104
8,0.955998,0.585719,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646789524,10108
9,0.955998,0.585719,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646790532,11116
10,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646791524,12108
11,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646791705,12289
12,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646792698,13282
13,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646793705,14289
14,0.944678,0.567458,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646794709,15293
15,0.944678,0.567458,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646796529,17113
